,Unnamed: 0,summary,document,label
54,54,obama accuses mccain of lying over lipstick smear,the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .,1
55,55,osce calls for cooperation in fight against human trafficking,"the organization for security and cooperation in europe -lrb- osce -rrb- , a european security body , urged wednesday its ## member states to intensify efforts to crack down on human trafficking .",0
56,56,russia 's lavrov in poland to discuss us missile shield georgia,russian foreign minister sergei lavrov arrived wednesday in the polish capital warsaw for his first visit to an eu member state since the georgia conflict erupted just over a month ago .,1
57,57,pakistan army chief criticises us raids,pakistan army chief general ashfaq kayani wednesday strongly criticised cross - border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .,0
58,58,euro falls below #.## dlrs on eurozone recession fears,"the euro , weakened by prospects of recession in the eurozone , fell below #.## dollars for the first time in a year wednesday .",2
59,59,both mugabe and tsvangirai hint zimbabwe deal is close,"negotiations on power-sharing in zimbabwe ended wednesday without a deal , but both president robert mugabe and opposition leader morgan tsvangirai hinted that agreement is very close .",0
60,60,ny mayor lambastes ground zero delays,new york mayor michael bloomberg on wednesday lambasted delays in rebuilding at the site of the #\/## terrorist attacks against the world trade center .,0
61,61,lehman bros to sell off assets amid fresh losses,ailing investment bank lehman brothers announced plans wednesday to sell off key assets to shore up its finances as it posted more hefty losses linked to the us subprime real estate crisis .,0
62,62,six dead as powerful quake hits southern iran,"a powerful earthquake jolted southern iran on wednesday , killing six people , and damaging scores of homes on a resort island in strategic gulf waters .",0
63,63,wall street struggles higher lehman in focus,us stocks wobbled higher wednesday as investors mulled troubled investment giant lehman brothers 's news of hefty losses and plans to sell assets to shore up its finances .,0
64,64,retrial ordered in britain over alleged transatlantic bomb plot,"seven men suspected of plotting to blow up airliners over the atlantic ocean in #### face a retrial , prosecutors said wednesday , after a jury in london failed to reach verdicts .",1
65,65,georgia accuses russia of breaking truce,"georgia said one of its policemen was shot dead from a russian position wednesday in violation of a fragile truce , as a major crack appeared in the eu - brokered ceasefire over the remit of eu observers .",0
66,66,british pm denies backing obama in magazine article,"british prime minister gordon brown denied wednesday favoring either barack obama or john mccain in the us presidential race , despite writing an article in which he appeared to back the democrats .",0
67,67,kenyan police offer obama 's grandmother security after robbery,"kenyan police have a mounted a ##-hour patrol in a village where us presidential candidate barack obama 's grandmother lives after robbers made a botched attempt to rob her solar panel , an official said .",0
68,68,france seeks european shared vision for arctic issues,"france , which holds the european union presidency , called wednesday for a joint european approach to resolving the challenges in the arctic , a region on the front lines of global warming .",0
69,69,wall street struggles higher lehman in focus,us stocks wobbled higher wednesday as investors mulled troubled investment giant lehman brothers 's news of hefty losses and plans to sell assets to shore up its finances .,0
70,70,both mugabe and tsvangirai hint zimbabwe deal is close,"negotiations on power-sharing in zimbabwe ended wednesday without a deal , but both president robert mugabe and opposition leader morgan tsvangirai hinted that agreement is very close .",0
71,71,russian soldiers pack bags in western georgia,"in villages in western georgia , russian soldiers are packing up to leave , rolling up barbed wire and removing equipment , but the process is anything but fast , residents said wednesday .",1
72,72,world 's biggest bible printer weathers decline in demand,"faith is no foil against market forces -- not even if you 're flogging the word of god , as the biggest printer of bibles in the world is finding out .",1
73,73,armed police drafted in amid sierra leone mining dispute,"a dispute between rival english and domestic mining giants over rights to lucrative iron-ore deposits has forced armed police to intervene in sierra leone , officials said wednesday .",2
74,74,no deal yet but mugabe hopes for zimbabwe deal thursday,"the second day of negotiations on power-sharing in zimbabwe ended wednesday without a deal , but president robert mugabe said participants will `` hopefully '' reach an accord thursday .",0
75,75,youngest sarkozy marries in dad 's fiefdom,"jean sarkozy , youngest son of french president nicolas sarkozy , exchanged wedding vows wednesday with an heir to a french retailing fortune in his father 's political fiefdom , west of paris .",0
76,76,turkey azerbaijan talk up ties after armenia visit,turkish president abdullah gul and his azerbaijani counterpart ilham aliyev on wednesday stressed `` friendly relations '' following gul 's visit to azerbaijan 's arch-enemy armenia last week .,0
77,77,military helicopter crashes in israel,"an israeli military helicopter with a two-man crew crashed near the northern town of afula and burst into flames on wednesday , army radio said .",0
78,78,russia urges nato ambassadors to cancel georgia visit,russia 's envoy to nato urged nations in the military alliance on wednesday to cancel a visit to georgia by their ambassadors planned for next week .,0
79,79,texas girds for the worst as deadly ike closes in,"president george w. bush declared an emergency in texas and state authorities began ordering evacuations as deadly hurricane ike , which strengthened wednesday to a powerful category two storm , churned in the gulf of mexico toward the us state .",0
80,80,boeing strike in fifth day ; no talks scheduled,"the machinists union strike against boeing entered a fifth day wednesday with no sign of a resumption of contract talks on the horizon , both sides said .",0
81,81,ike strengthens to category two hurricane,"hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .",0
82,82,internet drug trafficking skyrockets experts warn,"drug trafficking on the web has soared as internet use has become commonplace , presenting far more challenges and dangers than traditional trafficking , experts warned at a conference in stockholm that wrapped up wednesday .",0
83,83,israel troops kill palestinian in west bank raid,"israeli troops opened fire and killed a palestinian during a raid in the northern west bank city of nablus on wednesday , security officials said .",0
84,84,five dead as powerful quake hits southern iran,"a powerful earthquake jolted southern iran on wednesday , killing five people , and damaging scores of homes on a resort island in strategic gulf waters .",0
85,85,pentagon cancels tanker contest amid charged politics,"the pentagon canceled a ## billion-dollar competition for a new aerial refueling tanker wednesday , leaving the politically charged decision for one of its biggest military contracts to a new administration .",1
86,86,spanish judge in legal storm over paedophile ruling,"a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .",0
87,87,israel says it foiled attacks abroad,"israel has recently foiled at least two attacks against its citizens abroad with the help of foreign security services , defense minister ehud barak said on wednesday .",0
88,88,egypt editor gets jail sentence for not having permit,"a court sentenced an egyptian newspaper editor to one year in jail on wednesday for having published his paper without a permit from the press council , the state-run mena news agency reported .",0
89,89,mozambique ruling party readies to pick presidential candidate,"mozambique 's ruling frelimo party will begin five-day talks to choose its candidate for #### presidential elections on thursday , a party official said .",0
90,90,us execution on hold but not due to judge-prosecutor affair,"a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .",0
91,91,south africa to host miss world pageant,"south africa has won its bid to host the miss world beauty pageant after the contest was moved from ukraine over safety concerns in neighbouring georgia , an official said wednesday .",0
92,92,euro falls to ##-month low of #.#### dollars,"the euro , weakened by prospects of recession in the eurozone , fell to an ##-month low of #.#### dollars in volatile trade wednesday , its lowest reading since october # , #### .",0
93,93,five dead as powerful quake hits southern iran,"a powerful earthquake jolted southern iran on wednesday , killing five people , and damaging scores of homes on a resort island in strategic gulf waters .",0
94,94,us execution on hold but not due to judge-prosecutor affair,"a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .",0
95,95,yemen steps up measures to fight maritime piracy,"yemen has stepped up measures to combat piracy off its coast , deploying troops in the gulf of aden and planning three centres to fight somali pirates , official sources said on wednesday .",0
96,96,russia denies it controls s ossetia abkhazia in un court hearing,russia on wednesday denied claims before the un 's highest court that it exercised effective control over the georgian rebel regions of south ossetia and abkhazia .,2
97,97,southern african summit deferred amid hopes of zimbabwe pact,a southern african security summit due to begin wednesday was deferred by a day amid speculation that zimbabwe 's political rivals could finally ink a long awaited power-sharing deal .,0
98,98,un prosecutor carefully optimistic on mladic arrest,un prosecutor serge brammertz expressed `` careful optimism '' here wednesday about belgrade 's efforts to arrest bosnian serb war crimes fugitive ratko mladic on a visit crucial for serbia 's eu aspirations .,0
99,99,canada 's pm affirms #### afghanistan pullout,"the bulk of canada 's troops in afghanistan will not remain there past a #### pullout date set earlier this year , prime minister stephen harper said wednesday .",1
100,100,european stocks close lower,european stocks closed lower wednesday as sentiment turned increasingly cautious on the outlook for the economy and the banks after monday 's euphoric response to a us government bailout of two key us mortgage finance firms .,0
101,101,military helicopter crashes in israel,"an israeli military helicopter with a two-man crew crashed near the northern town of afula and burst into flames on wednesday , army radio said .",0
102,102,major paris exhibit to show how picasso learned from old masters,"manet 's `` olympia , '' titian 's `` venus delighting herself with love and music '' and goya 's `` la maja UNK '' are to hang with other illustrious nudes alongside picasso 's very own in an unprecedented exhibition next month on `` painting learning from painting .",1
103,103,british pm denies backing obama in magazine article,"british prime minister gordon brown denied wednesday favoring either barack obama or john mccain in the us presidential race , despite writing an article in which he appeared to back the democrats .",0
104,104,britain pledges climate change aid for at-risk bangladesh,"britain pledged ## million pounds -lrb- ### million dollars , ## million euros -rrb- wednesday to help bangladesh fight the effects of climate change , as the low - lying south asian nation made a plea for billions of dollars in aid .",0
105,105,us disagrees with opec output cut,"the white house disagreed wednesday with opec 's plans to cut oil output by half a million barrels a day , saying `` we would like to see more oil on the market , not less .",0
106,106,qaeda front group hits out at iraq sunni party,a front group for al-qaeda in iraq hit out at the country 's largest sunni arab parliamentary faction on wednesday over a government offensive against jihadists north of baghdad .,0
107,107,medvedev moves to calm markets as stocks fall further,"russian president dmitry medvedev moved to calm investors wednesday as the benchmark rts stock market index fell #.# percent wednesday , capping a ##-percent fall since the start of the year .",0
108,108,us catholic bishops UNK us immigration raids,"us roman catholic bishops on wednesday charged that immigration raids on us workplaces break up families and disrupt communities , without addressing the flawed us immigration system .",2
109,109,us hopeful of nkorea progress despite kim health reports,the white house on wednesday expressed guarded optimism about the future of north korean nuclear disablement efforts amid reports that north korean leader kim jong-il may be seriously ill .,1
110,110,flawless start for world 's UNK particle collider,particle physicists were jubilant on wednesday after the long-awaited startup of a UNK designed to expose secrets of the cosmos passed its first tests with flying colors .,0
111,111,military helicopter crashes in israel,"an israeli military helicopter crashed near the northern town of afula on wednesday , army radio said .",0
112,112,retrial ordered in britain over alleged transatlantic bomb plot,"seven men accused of being part of a cell that allegedly plotted to bring down transatlantic airliners will face a retrial , after a jury failed to reach verdicts this week , british prosecutors said wednesday .",1
113,113,moroccan rights group calls for blogger 's release,"a moroccan rights organization called wednesday for `` the immediate release '' of blogger mohamed UNK , jailed this week for two years for showing disrespect to the king .",0
114,114,timeline of disputed us tanker contract,"the us defense department has canceled a ## billion-dollar competition for a new air refueling tanker , leaving the politically charged decision to a new president .",2
115,115,cairo rockslide toll climbs to ##,"at least ## people were killed in a massive rockslide that crushed dozens of homes in a cairo slum over the weekend , a security official said on wednesday , with the toll expected to rise further .",1
116,116,chad 's president blamed for world bank pipeline pullout,"chad 's rebel leader and a prominent human rights lawyer blamed president idriss deby itno for the world bank 's decision to stop financing an oil pipeline deal , accusing him wednesday of stealing the money to pay for war .",0
117,117,archaeologists shed light on greek bronze age marbles mystery,"archaeologists are a step closer to fully unravelling a ##-year mystery surrounding the discovery of broken early bronze age marble objects on a greek island , project sources said on wednesday .",0
118,118,obama accuses mccain of lying over lipstick smear,the white house race plumbed new toxic depths wednesday as barack obama raged against john mccain for stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .,1
119,119,us hails positive nkorea number two 's comments on nuclear deal,the white house on wednesday welcomed `` positive '' comments from north korea 's number two leader on six-country efforts to end the secretive stalinist country 's nuclear weapons programs .,0
120,120,russia eu at odds over georgia peace deal,"russia ruled out wednesday allowing eu observers into the georgian regions of south ossetia and abkhazia , contradicting claims by french president nicolas sarkozy over the mission .",1
121,121,euro falls to ##-month low of #.#### dollars,"the euro , UNK by prospects of recession in the eurozone , fell to #.#### dollars in late afternoon trade wednesday , its lowest reading since october # , #### .",1
122,122,sarkozy first lady carla to greet pope in paris,"french president nicolas sarkozy and his wife carla bruni will welcome pope benedict xvi at the airport when he arrives in france on friday for his first visit , the presidency said .",0
123,123,european stock markets close lower,"european stock markets closed lower on wednesday , with london 's ftse ### index down #.## percent at #,###.## points .",0
124,124,jeff koons ruffles versailles with eye-popping art show,"us pop art giant jeff koons took the chateau of versailles by storm on wednesday , ruffling the stately pomp of the french royal court with his riotous , larger-than-life artwork .",0
125,125,texas girds for the worst as deadly ike closes in,president george w. bush declared an emergency in texas wednesday and state authorities began ordering evacuations as deadly hurricane ike churned in the gulf of mexico toward the us state .,0
126,126,retrial ordered in britain over transatlantic bomb plot,"seven members of an alleged cell accused of plotting to bring down transatlantic airliners will face a re-trial , after a jury failed to reach verdicts earlier this week , prosecutors said wednesday .",1
127,127,russia threatens to target us sites in europe,a top russian general threatened wednesday to target planned american missile shield sites in poland and the czech republic with ballistic missiles amid icy us-russia relations over georgia .,0
128,128,hague tribunal releases milutinovic for medical reasons,"the war crimes court for the former yugoslavia granted a temporary release wednesday to UNK president milan milutinovic for medical reasons , a court statement said .",0
129,129,us disagrees with opec output cut,"the white house on wednesday said it disagreed with opec 's plans to cut oil output by half a million barrels a day , saying it wants to see more oil come to market , not less .",0
130,130,russian soldiers pack bags in western georgia,"in villages in western georgia russian soldiers are packing up to leave , rolling up barbed wire and removing equipment , but the process is anything but fast , residents said wednesday .",1
131,131,obama mccain trade barbs over allegations of lipstick smear,"john mccain decried barack obama 's use of the term `` lipstick on a pig '' as a sexist smear against his republican running mate sarah palin , a controversy dismissed wednesday by the democratic nominee as `` phony and foolish .",1
132,132,us to give ## million dollars in aid to storm-hit haiti,"the united states will provide ## million dollars in aid to help storm-ravaged haiti recover from deadly tropical storms , white house spokeswoman dana perino said wednesday .",0
133,133,pakistan defense chief warns about civilian deaths,pakistan 's defense minister wednesday told the head of the german air force that civilian deaths from missile strikes by afghanistan-based forces could damage cooperation in the `` war on terror .,0
134,134,us stocks pare gains after lehman unveils assets sale,us stocks pared early gains wednesday as the market mulled struggling investment giant lehman brothers ' plans to sell assets to shore up its finances .,0
135,135,israel says it foiled attacks abroad,"israel has recently foiled at least two attacks against its citizens abroad with the help of foreign security services , defense minister ehud barak said on wednesday .",0
136,136,eu seeks to deepen ties with nigeria,"the european union wants to boost its ties with oil-rich nigeria , its key partner on the continent , a top brussels official said on wednesday .",0
137,137,oil prices drop after us inventory data,oil prices fell below ### dollars a barrel on wednesday after the us government revealed that stockpiles of distillates had fallen less than expected last week in the aftermath of hurricane gustav .,0
138,138,armenia signs power supply deal with turkey after gul visit,"armenia has signed a deal to supply electricity to turkey , energy minister armen UNK said wednesday , in the first tangible sign of a thaw in relations since an historic weekend visit by the turkish president .",0
139,139,georgia accuses russia of breaking truce,"georgia accused russian soldiers of violating a fragile truce on wednesday by killing a georgian policeman , as a major crack appeared in the eu-brokered ceasefire over the remit of eu observers .",0
140,140,zimbabwe licences shops to trade with foreign currency,"the zimbabwe has licensed some shops to sell goods in foreign currency as it grapples with a burgeoning black market in basic commodities , a senior official said on wednesday .",0
141,141,kuwait mulls change in sponsor system after labor unrest,kuwait said on wednesday it was considering alternatives to its widely criticised employee sponsor system after violent protests by foreign workers demanding better conditions .,0
142,142,turkish cypriot leader hopes for deal before eu elections in june,turkish cypriot leader mehmet ali talat expressed hope wednesday that talks to unite the divided island of cyprus would be wrapped up by year 's end and a solution found by june next year .,1
143,143,france rejects extradition for georgian opposition activist,"a paris court refused wednesday to extradite to georgia an opposition activist and former defense minister convicted of corruption , his lawyer said .",0
144,144,lehman bros to sell off assets after #.# bln dlr loss,ailing investment bank lehman brothers announced wednesday a series of asset sales to shore up its finances as it posted an estimated #.# billion-dollar quarterly loss .,0
145,145,eu probes complaints about housing discrimination in belgium,the european commission said wednesday it was seeking information from the belgian authorities over complaints that french-speakers are discriminated against over public housing .,0
146,146,food program chief urges eu to be bold on farm aid,world food programme chief josette sheeran urged the european union wednesday to show bold leadership and unblock a billion euros in aid to help poor countries confront the global food crisis .,1
147,147,palin does not rule out war with russia,republican vice presidential pick sarah palin thursday refused to rule out war with russia should georgia eventually join nato and then be invaded by moscow 's troops .,0
148,148,palin will not blink in america 's righteous cause,republican vice presidential pick sarah palin vowed thursday she would not `` blink '' in pursuit of america 's `` righteous '' war in iraq and insisted she was ready to step in as president if needed .,0
149,149,key dates in zimbabwe 's crisis,zimbabwe 's political rivals clinched a powersharing agreement late thursday ending an ongoing political crisis in the southern african country .,2
150,150,argentina fumes over us accusations in suitcase trial,"argentina on thursday blasted the united states for accusations made during a miami trial that a suitcase filled with ###,### dollars stopped at buenos aires airport was an illicit campaign gift to president cristina kirchner from venezuela .",0
151,151,un chief hails power-sharing deal in zimbabwe,un chief ban ki-moon hailed the power-sharing deal reached by the zimbabwean government and its opposition in harare thursday and voiced hope it would pave the way for durable peace and recovery .,0
152,152,us expels bolivian ambassador after bolivia boots us envoy,the united states on thursday ordered the expulsion of bolivia 's envoy to washington after bolivian president evo morales ordered the us ambassador to la paz to leave the country .,0
153,153,palin insists she is ready to be president,republican vice presidential pick sarah palin insisted in her first major television interview on thursday she was ready to step in as us president if necessary .,0
154,154,zimbabwe rivals clinch long-awaited power-sharing deal,zimbabwe 's political rivals reached a power-sharing deal thursday in a bid to end a bitter crisis after marathon talks that centred on how much authority president robert mugabe would cede .,0
155,155,lehman shares slide further as survival prospects dim,lehman brothers shares plunged further thursday as fears intensified about the survival of the troubled wall street investment giant .,0
156,156,us ambassador given up to ## hours to leave bolivia,"us ambassador philip goldberg has up to ## hours to leave bolivia , the government of leftist president evo morales said thursday .",0
157,157,mccain basks in palin power in key swing states,"sarah palin is rejuvenating her republican running mate john mccain in three of the battleground states likely to decide his showdown with democrat barack obama , new polls showed thursday .",1
158,158,spain 's constitutional court blocks basque referendum,spain 's constitutional court ruled thursday that a plan by authorities in the separatist-minded basque country to hold a referendum next month on the political future of the region is illegal .,0
159,159,aig four ex-executives settle lawsuit for ### mln dlrs,"us insurance giant aig and four of its former senior executives agreed to pay ### million dollars to settle claims stemming from charges of fraud , the investors ' law firm said thursday .",2
160,160,"UNK queen mistakenly sent #,### pints of beer","britain 's queen elizabeth ii was mistakenly sent #,### pints of beer when one of her royal residences was confused with a nearby pub , it emerged thursday .",0
161,161,white house rivals bury hatchet at ground zero,white house rivals john mccain and barack obama made a dramatic show of unity thursday with a visit to ground zero on the emotional seventh anniversary of the #\/## terrorist attacks .,0
162,162,spain 's constitutional court blocks basque referendum,spain 's constitutional court ruled thursday that a plan by authorities in the separatist-minded basque country to hold a referendum next month on the political future of the region is illegal .,0
163,163,bollywood legend opens acting school in london,"in the latest sign of bollywood 's expanding reach , one of the industry 's biggest stars opened a new acting school in london on thursday that will tutor aspiring actors who hope to break into indian film .",0
164,164,dollar resilient after trade report ; euro weakens,the dollar shook off a weak report on the us trade deficit and held generally steady thursday as investors sought safety in the greenback from market turmoil .,1
165,165,thousands forced to flee houston as deadly ike advances,"roads and bridges leading from the us gulf coast were jammed thursday as hundreds of thousands fled in a mandatory evacuation of parts of houston , as deadly hurricane ike bore down on the texas metropolis .",0
166,166,zimbabwe rivals clinch long-awaited power-sharing deal,zimbabwe 's political rivals reached a power-sharing deal thursday in a bid to end a bitter crisis after marathon negotiations that centred on how much power president robert mugabe would cede .,0
167,167,afghanistan welcomes war on terror shift on #\/## anniversary,afghan president hamid karzai thursday welcomed a new us `` war on terror '' focus on pakistan 's border areas as more deadly violence underscored rampant militancy seven years after the #\/## attacks .,0
168,168,lehman shares slide further as survival prospects dim,lehman brothers shares plunged further thursday as fears intensified about the survival of the troubled wall street investment giant .,0
169,169,fierce fire forces channel tunnel evacuation ## injured,"rescuers evacuated dozens of truck drivers from the channel tunnel on thursday after an explosion and fire on a freight shuttle injured ## people and forced the closure of the undersea link , officials said .",0
